"","year","season","period","treatment","locality","site","bar","station","count_live","tran_length","area","density","strata"
"1",2010,"summer",1,"control","CK","I","1","CKI1",3995,29.2,4.45,897.74,"Y_NA"
"2",2010,"summer",1,"control","CK","I","2","CKI2",2400,29.2,4.45,539.32,"Y_NA"
"3",2010,"summer",1,"control","CK","I","3","CKI3",1608,21.9,3.34,481.79,"Y_NA"
"4",2010,"summer",1,"control","CK","N","1","CKN1",1019,15.3,2.33,437.02,"Y_NA"
"5",2010,"summer",1,"control","CK","N","2","CKN2",182,41,6.25,29.13,"Y_NA"
"6",2010,"summer",1,"control","CK","N","3","CKN3",3571,17.5,2.67,1338.96,"Y_NA"
"7",2010,"summer",1,"control","CK","O","1","CKO1",402,25,3.81,105.51,"Y_NA"
"8",2010,"summer",1,"control","CK","O","2","CKO2",269,30.4,4.63,58.06,"Y_NA"
"9",2010,"summer",1,"control","CK","O","3","CKO3",1204,33,5.03,239.4,"Y_NA"
"10",2010,"summer",1,"control","CR","I","1","CRI1",2073,10.9,1.66,1247.92,"N_NA"
"11",2010,"summer",1,"control","CR","I","2","CRI2",3377,18.6,2.83,1191.33,"N_NA"
"12",2010,"summer",1,"control","CR","I","3","CRI3",1707,13.9,2.12,805.81,"N_NA"
"13",2010,"summer",1,"control","CR","N","1","CRN1",729,20.5,3.12,233.34,"Y_NA"
"14",2010,"summer",1,"control","CR","N","2","CRN2",280,16.6,2.53,110.68,"Y_NA"
"15",2010,"summer",1,"control","CR","N","3","CRN3",2951.5,30,4.57,645.56,"Y_NA"
"16",2010,"summer",1,"control","CR","O","1","CRO1",905,57.5,8.76,103.28,"Y_NA"
"17",2010,"summer",1,"control","CR","O","2","CRO2",4672,45,6.86,681.25,"Y_NA"
"18",2010,"summer",1,"control","CR","O","3","CRO3",54,40,6.1,8.86,"Y_NA"
"19",2010,"summer",1,"control","CR","O","4","CRO4",1664,25,3.81,436.75,"Y_NA"
"20",2010,"summer",1,"control","HB","I","1","HBI1",3452,32.5,4.95,696.95,"Y_NA"
"21",2010,"summer",1,"control","HB","I","2","HBI2",2866,16,2.44,1175.36,"N_NA"
"22",2010,"summer",1,"control","HB","I","3","HBI3",3557,27.5,4.19,848.72,"Y_NA"
"23",2010,"summer",1,"control","HB","I","4","HBI4",93,17.5,2.67,34.87,"Y_NA"
"24",2010,"summer",1,"control","HB","N","1","HBN1",1018,18.1,2.76,369.05,"Y_NA"
"25",2010,"summer",1,"control","HB","N","2","HBN2",1753,25,3.81,460.1,"Y_NA"
"26",2010,"summer",1,"control","HB","N","3","HBN3",2069,17.5,2.67,775.78,"Y_NA"
"27",2010,"summer",1,"control","HB","N","5","HBN5",226,18,2.74,82.39,"Y_NA"
"28",2010,"summer",1,"control","HB","N","6","HBN6",704,22.7,3.46,203.5,"Y_NA"
"29",2010,"summer",1,"control","HB","O","1","HBO1",1792,32.5,4.95,361.8,"Y_NA"
"30",2010,"summer",1,"control","HB","O","2","HBO2",11,15.6,2.38,4.63,"Y_NA"
"31",2010,"summer",1,"control","HB","O","3","HBO3",62,50,7.62,8.14,"Y_NA"
"32",2010,"summer",1,"control","LC","I","1","LCI1",1765,20,3.05,579.07,"N_NA"
"33",2010,"summer",1,"control","LC","I","2","LCI2",1896,20.3,3.09,612.85,"Y_NA"
"34",2010,"summer",1,"control","LC","I","3","LCI3",2181,20,3.05,715.55,"Y_NA"
"35",2010,"summer",1,"control","LC","N","1","LCN1",232,12.5,1.9,121.78,"Y_NA"
"36",2010,"summer",1,"control","LC","N","2","LCN2",435,33,5.03,86.49,"Y_NA"
"37",2010,"summer",1,"control","LC","N","3","LCN3",195,32.6,4.97,39.25,"Y_NA"
"38",2010,"summer",1,"control","LC","N","4","LCN4",98,18.5,2.82,34.76,"Y_NA"
"39",2010,"summer",1,"control","LC","N","5","LCN5",80,36,5.49,14.58,"Y_NA"
"40",2010,"summer",1,"control","LC","O","3","LCO3",797,21.8,3.32,239.89,"N_LG"
"41",2010,"summer",1,"control","LC","O","8A","LCO8A",446,14.6,2.23,200.45,"N_LG"
"42",2010,"summer",1,"control","LC","O","9B","LCO9B",167,20.8,3.17,52.68,"N_LG"
"43",2010,"winter",2,"control","CR","I","1","CRI1",1508,10.9,1.66,907.8,"N_NA"
"44",2010,"winter",2,"control","CR","I","2","CRI2",2705,18.6,2.83,954.27,"N_NA"
"45",2010,"winter",2,"control","CR","I","3","CRI3",1464,13.9,2.12,691.1,"N_NA"
"46",2010,"winter",2,"control","CR","N","1","CRN1",684,20,3.05,224.41,"Y_NA"
"47",2010,"winter",2,"control","CR","N","2","CRN2",563,17.5,2.67,211.1,"Y_NA"
"48",2010,"winter",2,"control","CR","N","3","CRN3",1545,30,4.57,337.93,"Y_NA"
"49",2010,"winter",2,"control","CR","O","1","CRO1",773,65,9.91,78.03,"Y_NA"
"50",2010,"winter",2,"control","CR","O","2","CRO2",2726,45,6.86,397.49,"Y_NA"
"51",2010,"winter",2,"control","CR","O","3","CRO3",193,40,6.1,31.66,"Y_NA"
"52",2010,"winter",2,"control","HB","I","1","HBI1",2534,32.5,4.95,511.61,"Y_NA"
"53",2010,"winter",2,"control","HB","I","2","HBI2",2049,16,2.44,840.31,"N_NA"
"54",2010,"winter",2,"control","HB","I","3","HBI3",2331,26,3.96,588.28,"Y_NA"
"55",2010,"winter",2,"control","HB","N","1","HBN1",136,18.1,2.76,49.3,"Y_NA"
"56",2010,"winter",2,"control","HB","N","2","HBN2",32,23.3,3.55,9.01,"Y_NA"
"57",2010,"winter",2,"control","HB","N","3","HBN3",54,16.5,2.51,21.47,"Y_NA"
"58",2010,"winter",2,"control","HB","N","5","HBN5",25,17.5,2.67,9.37,"Y_NA"
"59",2010,"winter",2,"control","HB","N","6","HBN6",408,22.5,3.43,118.99,"Y_NA"
"60",2010,"winter",2,"control","HB","O","1","HBO1",52,32.5,4.95,10.5,"Y_NA"
"61",2010,"winter",2,"control","HB","O","2","HBO2",0,16,2.44,0,"Y_NA"
"62",2010,"winter",2,"control","HB","O","3","HBO3",12,50,7.62,1.57,"Y_NA"
"63",2010,"winter",2,"control","LC","I","1","LCI1",1441,20,3.05,472.77,"N_NA"
"64",2010,"winter",2,"control","LC","I","2","LCI2",1272,20.29,3.09,411.36,"Y_NA"
"65",2010,"winter",2,"control","LC","I","3","LCI3",2180,20,3.05,715.22,"Y_NA"
"66",2010,"winter",2,"control","LC","N","1","LCN1",82,12.3,1.87,43.74,"Y_NA"
"67",2010,"winter",2,"control","LC","N","2","LCN2",114,17.7,2.7,42.26,"Y_NA"
"68",2010,"winter",2,"control","LC","N","3","LCN3",174,32.6,4.97,35.02,"Y_NA"
"69",2010,"winter",2,"control","LC","N","4","LCN4",29,20,3.05,9.51,"Y_NA"
"70",2010,"winter",2,"control","LC","O","3","LCO3",476,21.3,3.25,146.64,"N_LG"
"71",2010,"winter",2,"control","LC","O","8A","LCO8A",208,14.3,2.18,95.44,"N_LG"
"72",2010,"winter",2,"control","LC","O","9B","LCO9B",35,20.3,3.09,11.31,"N_LG"
"73",2011,"summer",3,"control","CR","I","1","CRI1",2225,10.5,1.6,1390.45,"N_NA"
"74",2011,"summer",3,"control","CR","I","2","CRI2",2182,18.5,2.82,773.92,"N_NA"
"75",2011,"summer",3,"control","CR","I","3","CRI3",1357,13.6,2.07,654.72,"N_NA"
"76",2011,"summer",3,"control","CR","N","1","CRN1",56,22.9,3.49,16.05,"Y_NA"
"77",2011,"summer",3,"control","CR","N","2","CRN2",101,17.4,2.65,38.09,"Y_NA"
"78",2011,"summer",3,"control","CR","N","3","CRN3",436,30.8,4.69,92.89,"Y_NA"
"79",2011,"summer",3,"control","CR","O","1","CRO1",145,63.8,9.72,14.91,"Y_NA"
"80",2011,"summer",3,"control","CR","O","3","CRO3",118,40,6.1,19.36,"Y_NA"
"81",2011,"summer",3,"control","CR","O","4","CRO4",882,28.7,4.37,201.65,"Y_NA"
"82",2011,"summer",3,"control","HB","I","2","HBI2",1585,16,2.44,650.02,"N_NA"
"83",2011,"summer",3,"control","HB","I","3","HBI3",2350,25,3.81,616.8,"Y_NA"
"84",2011,"summer",3,"control","HB","N","2","HBN2",107,23.5,3.58,29.88,"Y_NA"
"85",2011,"summer",3,"control","HB","N","3","HBN3",398,16.8,2.56,155.45,"Y_NA"
"86",2011,"summer",3,"control","HB","O","1","HBO1",1609,32.5,4.95,324.85,"Y_NA"
"87",2011,"summer",3,"control","HB","O","2","HBO2",152,16,2.44,62.34,"Y_NA"
"88",2011,"summer",3,"control","HB","O","3","HBO3",14,54,8.23,1.7,"Y_NA"
"89",2011,"summer",3,"control","LC","I","1","LCI1",361,20,3.05,118.44,"N_NA"
"90",2011,"summer",3,"control","LC","I","2","LCI2",1583,20,3.05,519.36,"Y_NA"
"91",2011,"summer",3,"control","LC","I","3","LCI3",1518,19.3,2.94,516.09,"Y_NA"
"92",2011,"summer",3,"control","LC","N","1","LCN1",0,12.7,1.94,0,"Y_NA"
"93",2011,"summer",3,"control","LC","N","2","LCN2",6,20.1,3.06,1.96,"Y_NA"
"94",2011,"summer",3,"control","LC","N","3","LCN3",5,18.5,2.82,1.77,"Y_NA"
"95",2011,"summer",3,"control","LC","O","3","LCO3",231,21.3,3.25,71.16,"N_LG"
"96",2011,"summer",3,"control","LC","O","8A","LCO8A",197,14.25,2.17,90.71,"N_LG"
"97",2011,"summer",3,"control","LC","O","9B","LCO9B",87,20.4,3.11,27.98,"N_LG"
"98",2012,"winter",6,"control","CK","I","1","CKI1",1691,22.5,3.43,493.15,"Y_NA"
"99",2012,"winter",6,"control","CK","I","2","CKI2",510,25,3.81,133.86,"Y_NA"
"100",2012,"winter",6,"control","CK","N","1","CKN1",176,16,2.44,72.18,"Y_NA"
"101",2012,"winter",6,"control","CK","N","2","CKN2",42,35,5.33,7.87,"Y_NA"
"102",2012,"winter",6,"control","CK","N","3","CKN3",809,27.5,4.19,193.03,"Y_NA"
"103",2012,"winter",6,"control","CK","O","1","CKO1",4,40,6.1,0.66,"Y_NA"
"104",2012,"winter",6,"control","CK","O","2","CKO2",13,67.5,10.29,1.26,"Y_NA"
"105",2012,"winter",6,"control","CK","O","3","CKO3",93,37.5,5.71,16.27,"Y_NA"
"106",2012,"winter",6,"control","CR","I","1","CRI1",866,17.5,2.67,324.71,"N_NA"
"107",2012,"winter",6,"control","CR","I","2","CRI2",1098,22.5,3.43,320.21,"N_NA"
"108",2012,"winter",6,"control","CR","I","3","CRI3",542,15,2.29,237.1,"N_NA"
"109",2012,"winter",6,"control","CR","N","1","CRN1",135,20,3.05,44.29,"Y_NA"
"110",2012,"winter",6,"control","CR","N","2","CRN2",362,17.5,2.67,135.73,"Y_NA"
"111",2012,"winter",6,"control","CR","N","3","CRN3",795,30,4.57,173.88,"Y_NA"
"112",2012,"winter",6,"control","CR","O","1","CRO1",29,65,9.91,2.93,"Y_NA"
"113",2012,"winter",6,"control","CR","O","3","CRO3",10.5,40,6.1,1.72,"Y_NA"
"114",2012,"winter",6,"control","CR","O","4","CRO4",304.5,22.5,3.43,88.8,"Y_NA"
"115",2012,"winter",6,"control","HB","I","1","HBI1",2019,33,5.03,401.46,"Y_NA"
"116",2012,"winter",6,"control","HB","I","2","HBI2",1324,16,2.44,542.98,"N_NA"
"117",2012,"winter",6,"control","HB","I","3","HBI3",629,25,3.81,165.09,"Y_NA"
"118",2012,"winter",6,"control","HB","N","1","HBN1",7,18.1,2.76,2.54,"Y_NA"
"119",2012,"winter",6,"control","HB","N","2","HBN2",18,25,3.81,4.72,"Y_NA"
"120",2012,"winter",6,"control","HB","N","3","HBN3",7,16.65,2.54,2.76,"Y_NA"
"121",2012,"winter",6,"control","LC","I","1","LCI1",831,20,3.05,272.64,"N_NA"
"122",2012,"winter",6,"control","LC","I","2","LCI2",499,22.5,3.43,145.52,"Y_NA"
"123",2012,"winter",6,"control","LC","I","3","LCI3",484,24,3.66,132.33,"Y_NA"
"124",2012,"winter",6,"control","LC","N","1","LCN1",18,32.5,4.95,3.63,"Y_NA"
"125",2012,"winter",6,"control","LC","N","2","LCN2",0,20,3.05,0,"Y_NA"
"126",2012,"winter",6,"control","LC","N","3","LCN3",112.5,30,4.57,24.61,"Y_NA"
"127",2012,"winter",6,"control","LC","N","4","LCN4",1,17.5,2.67,0.37,"Y_NA"
"128",2012,"winter",6,"control","LC","O","3","LCO3",21.5,17.5,2.67,8.06,"N_LG"
"129",2012,"winter",6,"control","LC","O","8A","LCO8A",3,20,3.05,0.98,"N_LG"
"130",2012,"winter",6,"control","LC","O","9B","LCO9B",0,37.5,5.71,0,"N_LG"
"131",2013,"summer",7,"control","LC","O","10","LCO10A",5,66,10.06,0.5,"N_LG"
"132",2013,"summer",7,"control","LC","O","10","LCO10B",131,66,10.06,13.02,"N_LG"
"133",2013,"summer",7,"control","LC","O","11","LCO11A",31,66,10.06,3.08,"N_LG"
"134",2013,"summer",7,"control","LC","O","11","LCO11B",27,66,10.06,2.68,"N_LG"
"135",2013,"summer",7,"control","LC","O","12","LCO12",146,66,10.06,14.52,"N_LG"
"136",2013,"summer",7,"control","LC","O","8B","LCO8B",49,66,10.06,4.87,"N_LG"
"137",2013,"summer",7,"control","LC","O","9A","LCO9A",7,66,10.06,0.7,"N_LG"
"138",2013,"summer",7,"control","LC","O","9C","LCO9C",8,66,10.06,0.8,"N_LG"
"139",2014,"winter",10,"control","LC","O","10","LCO10A",375,64.6,9.85,38.09,"N_LG"
"140",2014,"winter",10,"control","LC","O","11","LCO11B",1012,64,9.75,103.76,"N_LG"
"141",2014,"winter",10,"control","LC","O","12","LCO12",748,63.01,9.6,77.89,"N_LG"
"142",2014,"winter",10,"control","LC","O","9C","LCO9C",211,20.8,3.17,66.56,"N_LG"
"143",2014,"winter",10,"rocks","LC","O","10","LCO10B",2488,64.8,9.88,251.94,"N_LG"
"144",2014,"winter",10,"rocks","LC","O","11","LCO11A",747,64.8,9.88,75.64,"N_LG"
"145",2014,"winter",10,"rocks","LC","O","8B","LCO8B",1136,60.7,9.25,122.8,"N_LG"
"146",2014,"winter",10,"rocks","LC","O","9A","LCO9A",1771,65.6,10,177.15,"N_LG"
"155",2015,"winter",10,"control","LC","O","9C","LCO9C",1171,43.3,6.6,177.45,"N_LG"
"147",2015,"summer",11,"control","LC","O","10","LCO10A",307,63.58,9.69,31.68,"N_LG"
"148",2015,"summer",11,"control","LC","O","11","LCO11B",328,64.54,9.84,33.35,"N_LG"
"149",2015,"summer",11,"control","LC","O","12","LCO12",442,61,9.3,47.55,"N_LG"
"150",2015,"summer",11,"control","LC","O","8B","LCO8B",254,64.14,9.77,25.98,"N_LG"
"151",2015,"summer",11,"rocks","LC","O","10","LCO10B",1109,65.29,9.95,111.46,"N_LG"
"152",2015,"summer",11,"rocks","LC","O","11","LCO11A",1288,63.01,9.6,134.13,"N_LG"
"153",2015,"summer",11,"rocks","LC","O","9A","LCO9A",1180,63.8,9.72,121.36,"N_LG"
"154",2015,"summer",11,"rocks","LC","O","9C","LCO9C",2181,65.78,10.02,217.56,"N_LG"
"156",2017,"winter",14,"control","LC","O","10","LCO10A",79,66,10.06,7.85,"N_LG"
"157",2017,"winter",14,"control","LC","O","9C","LCO9C",409,66,10.06,40.66,"N_LG"
"158",2017,"winter",14,"rocks","LC","O","10","LCO10B",1294,66,10.06,128.65,"N_LG"
"159",2017,"winter",14,"rocks","LC","O","11","LCO11A",1092,66,10.06,108.57,"N_LG"
"160",2017,"winter",14,"rocks","LC","O","11","LCO11B",64,66,10.06,6.36,"N_LG"
"161",2017,"winter",14,"rocks","LC","O","12","LCO12",134,66,10.06,13.32,"N_LG"
"162",2017,"winter",14,"rocks","LC","O","8B","LCO8B",322,66,10.06,32.01,"N_LG"
"163",2017,"winter",14,"rocks","LC","O","9A","LCO9A",556,66,10.06,55.28,"N_LG"
"164",2018,"winter",16,"control","LC","N","4","LCN4",35,22,3.35,10.44,"Y_NA"
"165",2018,"winter",16,"control","LC","N","8","LCN8",58,17.5,2.67,21.75,"Y_NA"
"166",2018,"winter",16,"rocks","LC","O","10A","LCO10A",1619,113.4,17.28,93.68,"N_LG"
"167",2018,"winter",16,"rocks","LC","O","11B","LCO11B",276,66.77,10.18,27.12,"N_LG"
"168",2018,"winter",16,"rocks","LC","O","12","LCO12",358.5,111.86,17.05,21.03,"N_LG"
"169",2018,"winter",16,"rocks","LC","O","14","LCO14",3060.5,70.11,10.68,286.44,"N_SM"
"170",2018,"winter",16,"rocks","LC","O","9C","LCO9C",1161,111.2,16.95,68.51,"N_LG"
"206",2019,"winter",16,"control","LC","I","1","LCI1",1650,45.39,6.92,238.53,"N_NA"
"207",2019,"winter",16,"control","LC","I","10","LCI10",1686,38.2,5.82,289.61,"Y_NA"
"208",2019,"winter",16,"control","LC","I","11","LCI11",302,17.86,2.72,110.95,"Y_NA"
"209",2019,"winter",16,"control","LC","I","12","LCI12",1106,36.09,5.5,201.09,"Y_NA"
"210",2019,"winter",16,"control","LC","I","13","LCI13",3421.5,71.3,10.87,314.88,"Y_NA"
"211",2019,"winter",16,"control","LC","I","14","LCI14",1501,22.75,3.47,432.93,"Y_NA"
"212",2019,"winter",16,"control","LC","I","15","LCI15",638,20.8,3.17,201.27,"Y_NA"
"213",2019,"winter",16,"control","LC","I","16","LCI16",427.5,24.04,3.66,116.69,"Y_NA"
"214",2019,"winter",16,"control","LC","I","17","LCI17",189,14.65,2.23,84.65,"Y_NA"
"215",2019,"winter",16,"control","LC","I","18","LCI18",1813,68.16,10.39,174.54,"Y_NA"
"216",2019,"winter",16,"control","LC","I","19","LCI19",153,22.21,3.38,45.2,"Y_NA"
"217",2019,"winter",16,"control","LC","I","2","LCI2",1534,32.2,4.91,312.6,"Y_NA"
"218",2019,"winter",16,"control","LC","I","3","LCI3",1104,23.8,3.63,304.37,"Y_NA"
"219",2019,"winter",16,"control","LC","I","4","LCI4",1909,22.5,3.43,556.72,"Y_NA"
"220",2019,"winter",16,"control","LC","I","5","LCI5",942,20.4,3.11,303,"Y_NA"
"221",2019,"winter",16,"control","LC","I","6","LCI6",454,21.5,3.28,138.56,"Y_NA"
"222",2019,"winter",16,"control","LC","I","7","LCI7",853,21.66,3.3,258.41,"N_NA"
"223",2019,"winter",16,"control","LC","I","8","LCI8",96,19,2.9,33.15,"Y_NA"
"224",2019,"winter",16,"control","LC","I","9","LCI9",695,22.24,3.39,205.05,"Y_NA"
"225",2019,"winter",16,"control","LC","N","1","LCN1",109,29.86,4.55,23.95,"Y_NA"
"226",2019,"winter",16,"control","LC","N","2","LCN2",693,32.77,4.99,138.76,"Y_NA"
"227",2019,"winter",16,"control","LC","N","3","LCN3",146,19.9,3.03,48.14,"Y_NA"
"228",2019,"winter",16,"control","LC","N","5","LCN5",700,21.75,3.31,211.18,"Y_NA"
"229",2019,"winter",16,"control","LC","N","6","LCN6",2275,32.4,4.94,460.74,"Y_NA"
"230",2019,"winter",16,"control","LC","N","7","LCN7",611,13.3,2.03,301.44,"Y_NA"
"231",2019,"winter",16,"control","LC","N","9","LCN9",4,36.12,5.5,0.73,"Y_NA"
"232",2019,"winter",16,"rocks","LC","O","13","LCO13",3678,62.55,9.53,385.83,"N_SM"
"233",2019,"winter",16,"rocks","LC","O","15","LCO15",3390.5,169.84,25.88,130.99,"N_SM"
"234",2019,"winter",16,"rocks","LC","O","16","LCO16",301.5,68.91,10.5,28.71,"N_SM"
"235",2019,"winter",16,"rocks","LC","O","17","LCO17",209,45.37,6.91,30.23,"Y_SM"
"236",2019,"winter",16,"rocks","LC","O","19","LCO19",557.5,116.31,17.73,31.45,"Y_SM"
"237",2019,"winter",16,"rocks","LC","O","2","LCO2",945,20.86,3.18,297.26,"N_LG"
"238",2019,"winter",16,"rocks","LC","O","20","LCO20",385,87.12,13.28,29,"Y_SM"
"239",2019,"winter",16,"rocks","LC","O","21","LCO21",714,129.01,19.66,36.32,"Y_SM"
"240",2019,"winter",16,"rocks","LC","O","3","LCO3",358,18.02,2.75,130.36,"N_LG"
"241",2019,"winter",16,"rocks","LC","O","4","LCO4",953,22.1,3.37,282.95,"N_LG"
"242",2019,"winter",16,"rocks","LC","O","8A","LCO8A",319,15.2,2.32,137.71,"N_LG"
"243",2019,"winter",16,"rocks","LC","O","9B","LCO9B",674.5,115.78,17.64,38.23,"N_LG"
"171",2019,"summer",17,"control","CK","I","1","CKI1",1845,25.1,3.83,482.32,"Y_NA"
"172",2019,"summer",17,"control","CK","I","2","CKI2",551,30.7,4.68,117.77,"Y_NA"
"173",2019,"summer",17,"control","CK","I","3","CKI3",1131,24.3,3.7,305.4,"Y_NA"
"174",2019,"summer",17,"control","CK","N","1","CKN1",487,14.6,2.23,218.87,"Y_NA"
"175",2019,"summer",17,"control","CK","N","2","CKN2",90,39.1,5.96,15.1,"Y_NA"
"176",2019,"summer",17,"control","CK","N","3","CKN3",165,16.25,2.48,66.63,"Y_NA"
"177",2019,"summer",17,"control","CK","O","1","CKO1",6,18.2,2.77,2.16,"Y_NA"
"178",2019,"summer",17,"control","CK","O","2","CKO2",28,27.6,4.21,6.66,"Y_NA"
"179",2019,"summer",17,"control","CK","O","3","CKO3",30,25,3.81,7.87,"Y_NA"
"180",2019,"summer",17,"control","CR","I","1","CRI1",702,17.3,2.64,266.26,"N_NA"
"181",2019,"summer",17,"control","CR","I","2","CRI2",1624,18.3,2.79,582.3,"N_NA"
"182",2019,"summer",17,"control","CR","I","3","CRI3",643,12.7,1.94,332.22,"N_NA"
"183",2019,"summer",17,"control","CR","N","1","CRN1",46,18.75,2.86,16.1,"Y_NA"
"184",2019,"summer",17,"control","CR","N","2","CRN2",236,18.1,2.76,85.56,"Y_NA"
"185",2019,"summer",17,"control","CR","N","3","CRN3",199,26,3.96,50.22,"Y_NA"
"186",2019,"summer",17,"control","CR","O","1","CRO1",134,52.2,7.96,16.84,"Y_NA"
"187",2019,"summer",17,"control","CR","O","2","CRO2",730,46.6,7.1,102.79,"Y_NA"
"188",2019,"summer",17,"control","CR","O","4","CRO4",664,25.27,3.85,172.42,"Y_NA"
