StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
8,2,201001,5.74,48.8,1.4,1.4,2.78,1.4,14,516,1.31,1.51,1.27,0.29,0.78,0.56,0.2,36.8,60.8
8,2,201002,4.02,49,1.5,1.5,0.76,1.5,7,455,0.39,1.07,1.32,0.36,0.08,0.84,0.2,37.6,60.4
8,2,201003,3.95,56.8,1.48,1.48,0.39,1.48,18,272,0.23,0.29,0.81,0.68,0.26,1.02,0.25,44.7,68.9
8,2,201004,1.01,67.8,-0.68,0.65,-2.03,-0.52,112,28,-1.22,-0.51,-0.29,0.59,0.01,0.44,0.09,54.2,81.4
8,2,201005,5.85,77.6,-0.15,1.04,1.38,0.58,391,0,1.18,0.24,0.21,0.96,0.36,0.12,0.5,66.6,88.4
8,2,201006,4.86,82.4,-0.69,-0.69,-1.68,-0.69,522,0,-0.69,0.39,-0.23,0.37,0.41,0.04,0.42,71.4,93.3
8,2,201007,5.5,83.2,-1.45,-1.45,-2.49,-1.45,564,0,-0.99,-1.32,-0.2,-0.41,0.41,-0.1,0.32,73.4,93.1
8,2,201008,7.29,83.2,-1.64,-1.64,-1.03,-1.64,564,0,0.17,-0.5,-0.89,-0.52,0.37,-0.06,-0.4,74.7,91.6
8,2,201009,3.86,79.6,-2.22,-2.22,-2.23,-2.22,438,0,-0.68,-0.51,-0.92,-0.87,-0.24,-0.08,-0.26,69.1,90
8,2,201010,0.17,69.4,-3.08,-3.08,-3.27,-3.08,161,25,-1.89,-1.7,-1.39,-1.18,-1.12,-0.34,-0.53,55.4,83.3
8,2,201011,1.23,61.4,-3.37,-3.37,-1.83,-3.37,51,159,-0.6,-1.76,-1.77,-2.18,-1.32,-0.51,-0.56,47.6,75.2
8,2,201012,1.2,46.5,-3.66,-3.66,-1.91,-3.66,0,574,-1,-1.15,-2.2,-2.46,-1.74,-1.05,-0.52,32.9,60.2
8,2,201101,5.45,49.8,-2.69,-2.69,1.78,-1.93,16,487,1.18,0.18,-0.08,-1.11,-1.11,-1.1,-0.32,37.9,61.6
8,2,201102,3.67,58.9,-2.51,-2.51,-0.27,-1.81,47,218,0.21,0.86,0.18,-1.06,-1.46,-1.07,-0.1,47.2,70.5
8,2,201103,3.35,64.4,-2.52,-2.52,-0.81,-2.09,94,113,-0.03,-0.01,0.53,-0.64,-1.24,-1.19,0.01,51,77.8
8,2,201104,2.56,70.6,-2.59,-2.59,-0.99,-2.46,178,10,-0.04,-0.15,-0.12,-0.16,-0.95,-0.97,-0.31,56.5,84.6
8,2,201105,1.33,74.9,-3.08,-3.08,-2.26,-3.08,307,0,-1.26,-0.91,-0.79,-0.42,-1.3,-1.61,-1.08,61.2,88.6
8,2,201106,4.37,82.1,-3.68,-3.68,-2.76,-3.68,513,0,-1.03,-1.66,-1.42,-0.51,-1.38,-1.8,-1.25,69.8,94.4
8,2,201107,6.38,82.2,-3.98,-3.98,-2.05,-3.98,533,0,-0.38,-1.13,-1.61,-1.17,-1.02,-1.62,-1.31,72.3,92
8,2,201108,5.37,83.6,-4.55,-4.55,-2.92,-4.55,577,0,-0.84,-0.94,-1.42,-1.49,-1.17,-2.06,-1.44,73.2,94
