StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,9,201001,5.61,46.1,1.7,1.7,2.69,1.7,10,596,1.15,1.77,1.42,0.79,0.92,1.27,0.61,34.4,57.8
9,9,201002,3.17,46.4,0.04,1.57,0.13,1.56,0,521,-0.09,0.66,1.43,0.58,0.2,1.43,0.43,35.5,57.3
9,9,201003,2.93,55,-0.19,1.22,-0.57,0.84,14,324,-0.35,-0.4,0.29,0.72,0.28,1.24,0.53,43,67.1
9,9,201004,1.73,66.4,-0.64,0.63,-1.4,-0.52,86,44,-0.65,-0.69,-0.67,0.55,0.28,0.45,0.42,52.5,80.3
9,9,201005,3.6,76.2,-0.8,-0.8,-0.68,-0.8,347,0,0.29,-0.37,-0.5,0.6,0.16,-0.14,0.49,65.3,87.2
9,9,201006,5.32,82.7,-1.03,-1.03,-0.93,-1.03,531,0,-0.04,0.05,-0.42,-0.1,0.42,0.01,0.68,71.2,94.2
9,9,201007,3.75,83.8,-2.03,-2.03,-3.34,-2.03,583,0,-1.56,-1.04,-0.81,-1.11,0.1,-0.11,0.4,72.9,94.7
9,9,201008,6.26,83.7,-2.23,-2.23,-1.23,-2.23,580,0,0.17,-0.91,-0.79,-1.02,0.1,-0.22,0.19,74.3,93
9,9,201009,3.07,78.7,-2.82,-2.82,-2.45,-2.82,411,0,-0.67,-0.53,-1.29,-1.16,-0.79,-0.25,0.3,67.5,89.9
9,9,201010,0.55,67.9,-3.36,-3.36,-2.49,-3.36,132,42,-1.39,-1.46,-1.22,-1.42,-1.59,-0.58,-0.29,53.8,82
9,9,201011,0.86,57.9,-3.6,-3.6,-1.75,-3.6,22,235,-0.87,-1.64,-1.68,-2.02,-1.81,-0.73,-0.5,43.3,72.4
9,9,201012,1.88,43.6,-3.81,-3.81,-1.74,-3.81,0,663,-0.66,-1.05,-1.73,-2.75,-1.95,-1.44,-0.31,30.9,56.3
9,9,201101,3.28,45.5,-3.59,-3.59,-0.53,-3.59,9,614,0.08,-0.37,-0.67,-1.39,-1.71,-1.77,-0.19,33.8,57.3
9,9,201102,3.16,55.7,-3.43,-3.43,-0.61,-3.43,24,284,-0.09,-0.14,-0.45,-1.42,-1.72,-1.75,-0.02,44,67.4
9,9,201103,3.79,61.5,-3.24,-3.24,-0.49,-3.24,61,169,0.07,-0.1,-0.1,-0.96,-1.82,-1.7,-0.07,48.2,74.9
9,9,201104,1.94,69.1,-3.43,-3.43,-1.57,-3.43,140,17,-0.49,-0.27,-0.36,-0.71,-1.35,-1.6,-0.8,54.7,83.6
9,9,201105,0.91,74.4,-4.05,-4.05,-2.94,-4.05,291,0,-1.96,-1.49,-1.04,-1.02,-1.79,-1.94,-1.6,60.7,88
9,9,201106,4.8,82.3,-4.31,-4.31,-2.03,-4.31,519,0,-0.33,-1.24,-1.4,-0.99,-1.71,-2.39,-1.59,69.4,95.2
9,9,201107,5.39,83.2,-4.64,-4.64,-2.3,-4.64,564,0,-0.38,-0.63,-1.25,-1.22,-1.51,-2.18,-1.57,72.5,94
9,9,201108,3.37,84.2,-5.43,-5.43,-3.81,-5.43,595,0,-1.6,-1.63,-1.4,-1.82,-1.78,-2.78,-1.98,72.4,95.9
9,9,201109,4.94,76.9,-5.16,-5.16,-0.88,-5.16,357,0,0.13,-0.95,-1.06,-1.67,-1.45,-2.06,-1.68,65.4,88.3
9,9,201110,3.35,64.9,-4.49,-4.49,0.43,-4.27,80,84,0.36,0.17,-0.61,-1.38,-1.36,-1.63,-1.59,52.5,77.3
9,9,201111,1.73,60,-4.29,-4.29,-0.8,-4.29,37,187,-0.06,0.16,0.06,-0.9,-1.38,-1.47,-1.56,47.4,72.5
9,9,201112,1.49,55.7,-4.67,-4.67,-2.47,-4.67,26,315,-0.96,-0.76,-0.33,-1.12,-1.75,-1.54,-2.94,43.9,67.5
9,9,201201,1.07,53.6,-5.22,-5.22,-3.08,-5.22,35,388,-1.29,-1.49,-1.34,-1.38,-2.05,-1.84,-2.78,40,67.2
9,9,201202,2.95,57.2,-5.08,-5.08,-1.19,-5.08,32,251,-0.21,-1.01,-1.25,-0.84,-1.53,-1.86,-3.09,45.6,68.7
