locality,site,bar,station,strata,period
BT,I,1,BTI1,N_NA,18
BT,I,2,BTI2,N_NA,18
BT,I,3,BTI3,N_NA,18
BT,I,4,BTI4,N_NA,18
BT,I,4,BTI4,N_NA,20
BT,I,5,BTI5,N_NA,18
BT,I,5,BTI5,N_NA,20
BT,I,6,BTI6,N_NA,18
CK,I,1,CKI1,Y_NA,1
CK,I,1,CKI1,Y_NA,6
CK,I,1,CKI1,Y_NA,19
CK,I,2,CKI2,Y_NA,1
CK,I,2,CKI2,Y_NA,6
CK,I,2,CKI2,Y_NA,19
CK,I,3,CKI3,Y_NA,1
CK,I,3,CKI3,Y_NA,19
CK,N,1,CKN1,Y_NA,1
CK,N,1,CKN1,Y_NA,6
CK,N,1,CKN1,Y_NA,19
CK,N,2,CKN2,Y_NA,1
CK,N,2,CKN2,Y_NA,6
CK,N,2,CKN2,Y_NA,19
CK,N,3,CKN3,Y_NA,1
CK,N,3,CKN3,Y_NA,6
CK,N,3,CKN3,Y_NA,19
CK,O,1,CKO1,Y_NA,1
CK,O,1,CKO1,Y_NA,6
CK,O,1,CKO1,Y_NA,19
CK,O,2,CKO2,Y_NA,1
CK,O,2,CKO2,Y_NA,6
CK,O,2,CKO2,Y_NA,19
CK,O,3,CKO3,Y_NA,1
CK,O,3,CKO3,Y_NA,6
CK,O,3,CKO3,Y_NA,19
CR,I,1,CRI1,N_NA,1
CR,I,1,CRI1,N_NA,2
CR,I,1,CRI1,N_NA,3
CR,I,1,CRI1,N_NA,6
CR,I,1,CRI1,N_NA,19
CR,I,2,CRI2,N_NA,1
CR,I,2,CRI2,N_NA,2
CR,I,2,CRI2,N_NA,3
CR,I,2,CRI2,N_NA,6
CR,I,2,CRI2,N_NA,19
CR,I,3,CRI3,N_NA,1
CR,I,3,CRI3,N_NA,2
CR,I,3,CRI3,N_NA,3
CR,I,3,CRI3,N_NA,6
CR,I,3,CRI3,N_NA,19
CR,N,1,CRN1,Y_NA,1
CR,N,1,CRN1,Y_NA,2
CR,N,1,CRN1,Y_NA,3
CR,N,1,CRN1,Y_NA,6
CR,N,1,CRN1,Y_NA,19
CR,N,2,CRN2,Y_NA,1
CR,N,2,CRN2,Y_NA,2
CR,N,2,CRN2,Y_NA,3
CR,N,2,CRN2,Y_NA,6
CR,N,2,CRN2,Y_NA,19
CR,N,3,CRN3,Y_NA,1
CR,N,3,CRN3,Y_NA,2
CR,N,3,CRN3,Y_NA,3
CR,N,3,CRN3,Y_NA,6
CR,N,3,CRN3,Y_NA,19
CR,O,1,CRO1,Y_NA,1
CR,O,1,CRO1,Y_NA,2
CR,O,1,CRO1,Y_NA,3
CR,O,1,CRO1,Y_NA,6
CR,O,1,CRO1,Y_NA,19
CR,O,2,CRO2,Y_NA,1
CR,O,2,CRO2,Y_NA,2
CR,O,2,CRO2,Y_NA,19
CR,O,3,CRO3,Y_NA,1
CR,O,3,CRO3,Y_NA,2
CR,O,3,CRO3,Y_NA,3
CR,O,3,CRO3,Y_NA,6
CR,O,4,CRO4,Y_NA,1
CR,O,4,CRO4,Y_NA,2
CR,O,4,CRO4,Y_NA,3
CR,O,4,CRO4,Y_NA,6
CR,O,4,CRO4,Y_NA,19
HB,I,1,HBI1,Y_NA,1
HB,I,1,HBI1,Y_NA,2
HB,I,1,HBI1,Y_NA,6
HB,I,1,HBI1,Y_NA,19
HB,I,2,HBI2,N_NA,1
HB,I,2,HBI2,N_NA,2
HB,I,2,HBI2,N_NA,3
HB,I,2,HBI2,N_NA,6
HB,I,2,HBI2,N_NA,19
HB,I,3,HBI3,Y_NA,1
HB,I,3,HBI3,Y_NA,2
HB,I,3,HBI3,Y_NA,3
HB,I,3,HBI3,Y_NA,6
HB,I,3,HBI3,Y_NA,19
HB,I,4,HBI4,Y_NA,1
HB,I,4,HBI4,Y_NA,19
HB,N,1,HBN1,Y_NA,1
HB,N,1,HBN1,Y_NA,2
HB,N,1,HBN1,Y_NA,6
HB,N,2,HBN2,Y_NA,1
HB,N,2,HBN2,Y_NA,2
HB,N,2,HBN2,Y_NA,3
HB,N,2,HBN2,Y_NA,6
HB,N,3,HBN3,Y_NA,1
HB,N,3,HBN3,Y_NA,2
HB,N,3,HBN3,Y_NA,3
HB,N,3,HBN3,Y_NA,6
HB,N,5,HBN5,Y_NA,1
HB,N,5,HBN5,Y_NA,2
HB,N,5,HBN5,Y_NA,19
HB,N,6,HBN6,Y_NA,1
HB,N,6,HBN6,Y_NA,2
HB,N,6,HBN6,Y_NA,19
HB,O,1,HBO1,Y_NA,1
HB,O,1,HBO1,Y_NA,2
HB,O,1,HBO1,Y_NA,3
HB,O,1,HBO1,Y_NA,19
HB,O,2,HBO2,Y_NA,1
HB,O,2,HBO2,Y_NA,2
HB,O,2,HBO2,Y_NA,3
HB,O,2,HBO2,Y_NA,19
HB,O,3,HBO3,Y_NA,1
HB,O,3,HBO3,Y_NA,2
HB,O,3,HBO3,Y_NA,3
HB,O,3,HBO3,Y_NA,19
LC,I,1,LCI1,N_NA,1
LC,I,1,LCI1,N_NA,2
LC,I,1,LCI1,N_NA,3
LC,I,1,LCI1,N_NA,6
LC,I,1,LCI1,N_NA,18
LC,I,1,LCI1,N_NA,19
LC,I,10,LCI10,Y_NA,18
LC,I,11,LCI11,Y_NA,18
LC,I,12,LCI12,Y_NA,18
LC,I,13,LCI13,Y_NA,18
LC,I,14,LCI14,Y_NA,18
LC,I,14,LCI14,Y_NA,20
LC,I,15,LCI15,Y_NA,18
LC,I,16,LCI16,Y_NA,18
LC,I,17,LCI17,Y_NA,18
LC,I,18,LCI18,Y_NA,18
LC,I,18,LCI18,Y_NA,20
LC,I,19,LCI19,Y_NA,18
LC,I,2,LCI2,Y_NA,1
LC,I,2,LCI2,Y_NA,2
LC,I,2,LCI2,Y_NA,3
LC,I,2,LCI2,Y_NA,6
LC,I,2,LCI2,Y_NA,18
LC,I,2,LCI2,Y_NA,19
LC,I,2,LCI2,Y_NA,20
LC,I,20,LCI20,Y_NA,20
LC,I,21,LCI21,Y_NA,20
LC,I,22,LCI22,Y_NA,20
LC,I,23,LCI23,N_NA,20
LC,I,24,LCI24,N_NA,20
LC,I,25,LCI25,Y_NA,20
LC,I,26,LCI26,Y_NA,20
LC,I,27,LCI27,Y_NA,20
LC,I,28,LCI28,N_NA,20
LC,I,29,LCI29,N_NA,20
LC,I,3,LCI3,Y_NA,1
LC,I,3,LCI3,Y_NA,2
LC,I,3,LCI3,Y_NA,3
LC,I,3,LCI3,Y_NA,6
LC,I,3,LCI3,Y_NA,18
