"","Year","value","measurement","area"
"1","1986","EFFORT PER TRIP (KG/TRIPS)","188.632926437324","SUWANNEE"
"2","1986","LANDINGS (KG)","489729.67464","SUWANNEE"
"3","1986","TRIPS","6656","SUWANNEE"
"4","1987","EFFORT PER TRIP (KG/TRIPS)","86.8723239334725","SUWANNEE"
"5","1987","LANDINGS (KG)","230001.081072","SUWANNEE"
"6","1987","TRIPS","7298","SUWANNEE"
"7","1988","EFFORT PER TRIP (KG/TRIPS)","69.8752836885494","SUWANNEE"
"8","1988","LANDINGS (KG)","229361.06276","SUWANNEE"
"9","1988","TRIPS","7867","SUWANNEE"
"10","1989","EFFORT PER TRIP (KG/TRIPS)","56.3239015437632","SUWANNEE"
"11","1989","LANDINGS (KG)","330499.378184","SUWANNEE"
"12","1989","TRIPS","11476","SUWANNEE"
"13","1990","EFFORT PER TRIP (KG/TRIPS)","36.7715839328517","SUWANNEE"
"14","1990","LANDINGS (KG)","166820.704984","SUWANNEE"
"15","1990","TRIPS","8665","SUWANNEE"
"16","1991","EFFORT PER TRIP (KG/TRIPS)","40.0339891071026","SUWANNEE"
"17","1991","LANDINGS (KG)","69386.421832","SUWANNEE"
"18","1991","TRIPS","3214","SUWANNEE"
"19","1992","EFFORT PER TRIP (KG/TRIPS)","80.7410937059822","SUWANNEE"
"20","1992","LANDINGS (KG)","41276.418408","SUWANNEE"
"21","1992","TRIPS","1933","SUWANNEE"
"22","1993","EFFORT PER TRIP (KG/TRIPS)","49.3480587308613","SUWANNEE"
"23","1993","LANDINGS (KG)","31248.860064","SUWANNEE"
"24","1993","TRIPS","1175","SUWANNEE"
"25","1994","EFFORT PER TRIP (KG/TRIPS)","99.2291391578779","SUWANNEE"
"26","1994","LANDINGS (KG)","46983.966544","SUWANNEE"
"27","1994","TRIPS","1664","SUWANNEE"
"28","1995","EFFORT PER TRIP (KG/TRIPS)","54.0630443446806","SUWANNEE"
"29","1995","LANDINGS (KG)","27353.411968","SUWANNEE"
"30","1995","TRIPS","1019","SUWANNEE"
"31","1996","EFFORT PER TRIP (KG/TRIPS)","64.3777390114481","SUWANNEE"
"32","1996","LANDINGS (KG)","33309.52852","SUWANNEE"
"33","1996","TRIPS","1046","SUWANNEE"
"34","1997","EFFORT PER TRIP (KG/TRIPS)","113.367779433","SUWANNEE"
"35","1997","LANDINGS (KG)","39757.3388","SUWANNEE"
"36","1997","TRIPS","1336","SUWANNEE"
"37","1998","EFFORT PER TRIP (KG/TRIPS)","59.9099950066508","SUWANNEE"
"38","1998","LANDINGS (KG)","28903.335832","SUWANNEE"
"39","1998","TRIPS","962","SUWANNEE"
"40","1999","EFFORT PER TRIP (KG/TRIPS)","63.6336026944444","SUWANNEE"
"41","1999","LANDINGS (KG)","62024.623672","SUWANNEE"
"42","1999","TRIPS","1740","SUWANNEE"
"43","2000","EFFORT PER TRIP (KG/TRIPS)","49.2929302490706","SUWANNEE"
"44","2000","LANDINGS (KG)","55400.366104","SUWANNEE"
"45","2000","TRIPS","1907","SUWANNEE"
"46","2001","EFFORT PER TRIP (KG/TRIPS)","44.6056608588363","SUWANNEE"
"47","2001","LANDINGS (KG)","35383.351144","SUWANNEE"
"48","2001","TRIPS","1220","SUWANNEE"
"49","2002","EFFORT PER TRIP (KG/TRIPS)","54.5691432637552","SUWANNEE"
"50","2002","LANDINGS (KG)","40501.22968","SUWANNEE"
"51","2002","TRIPS","1354","SUWANNEE"
"52","2003","EFFORT PER TRIP (KG/TRIPS)","36.7760919335968","SUWANNEE"
"53","2003","LANDINGS (KG)","35054.950536","SUWANNEE"
"54","2003","TRIPS","1266","SUWANNEE"
"55","2004","EFFORT PER TRIP (KG/TRIPS)","28.4004770825688","SUWANNEE"
"56","2004","LANDINGS (KG)","24765.216016","SUWANNEE"
"57","2004","TRIPS","872","SUWANNEE"
"58","2005","EFFORT PER TRIP (KG/TRIPS)","45.9866625644482","SUWANNEE"
"59","2005","LANDINGS (KG)","54586.168464","SUWANNEE"
"60","2005","TRIPS","1187","SUWANNEE"
"61","2006","EFFORT PER TRIP (KG/TRIPS)","91.3958197537567","SUWANNEE"
"62","2006","LANDINGS (KG)","80989.305192","SUWANNEE"
"63","2006","TRIPS","2064","SUWANNEE"
"64","2007","EFFORT PER TRIP (KG/TRIPS)","157.653315989757","SUWANNEE"
"65","2007","LANDINGS (KG)","85579.656232","SUWANNEE"
"66","2007","TRIPS","2216","SUWANNEE"
"67","2008","EFFORT PER TRIP (KG/TRIPS)","28.4982514941176","SUWANNEE"
"68","2008","LANDINGS (KG)","58136.433048","SUWANNEE"
"69","2008","TRIPS","2040","SUWANNEE"
"70","2009","EFFORT PER TRIP (KG/TRIPS)","24.6957813080895","SUWANNEE"
"71","2009","LANDINGS (KG)","28696.49788","SUWANNEE"
"72","2009","TRIPS","1162","SUWANNEE"
"73","2010","EFFORT PER TRIP (KG/TRIPS)","32.9162562982456","SUWANNEE"
"74","2010","LANDINGS (KG)","26713.847248","SUWANNEE"
"75","2010","TRIPS","913","SUWANNEE"
"76","2011","EFFORT PER TRIP (KG/TRIPS)","94.9707133338783","SUWANNEE"
"77","2011","LANDINGS (KG)","66868.53264","SUWANNEE"
"78","2011","TRIPS","1634","SUWANNEE"
"79","2012","EFFORT PER TRIP (KG/TRIPS)","81.2168751551223","SUWANNEE"
"80","2012","LANDINGS (KG)","76715.561368","SUWANNEE"
"81","2012","TRIPS","2028","SUWANNEE"
"82","2013","EFFORT PER TRIP (KG/TRIPS)","69.7205564136328","SUWANNEE"
"83","2013","LANDINGS (KG)","68301.429768","SUWANNEE"
"84","2013","TRIPS","2057","SUWANNEE"
"85","2014","EFFORT PER TRIP (KG/TRIPS)","51.2820385099998","SUWANNEE"
"86","2014","LANDINGS (KG)","29813.694976","SUWANNEE"
"87","2014","TRIPS","1248","SUWANNEE"
"88","2015","EFFORT PER TRIP (KG/TRIPS)","56.6814065609008","SUWANNEE"
"89","2015","LANDINGS (KG)","95254.32","SUWANNEE"
"90","2015","TRIPS","3689","SUWANNEE"
"91","2016","EFFORT PER TRIP (KG/TRIPS)","55.4869329880868","SUWANNEE"
"92","2016","LANDINGS (KG)","169718.704272","SUWANNEE"
"93","2016","TRIPS","6213","SUWANNEE"
"94","2017","EFFORT PER TRIP (KG/TRIPS)","52.9442490924219","SUWANNEE"
"95","2017","LANDINGS (KG)","216380.166904","SUWANNEE"
"96","2017","TRIPS","8241","SUWANNEE"
"97","2018","EFFORT PER TRIP (KG/TRIPS)","50.7742386481645","SUWANNEE"
"98","2018","LANDINGS (KG)","191766.904208","SUWANNEE"
"99","2018","TRIPS","7734","SUWANNEE"
"100","2019","EFFORT PER TRIP (KG/TRIPS)","46.2747443412107","SUWANNEE"
"101","2019","LANDINGS (KG)","68008.862928","SUWANNEE"
"102","2019","TRIPS","2951","SUWANNEE"
